FID,Length (m),Travel time (minute),Speed (m/hr)
531,909.575,0.910,60000
532,61.834,0.093,40000
533,1219.250,1.219,60000
534,1897.050,1.897,60000
535,79.680,0.120,40000
536,119.879,0.180,40000
537,85.574,0.128,40000
538,24.306,0.036,40000
539,68.392,0.103,40000
540,299.186,0.449,40000
541,71.761,0.108,40000
542,479.709,0.480,60000
543,250.745,0.376,40000
544,79.928,0.120,40000
545,84.574,0.127,40000
546,252.918,0.379,40000
547,836.469,0.836,60000
548,4415.780,4.416,60000
549,5367.960,5.368,60000
550,22.426,0.022,60000
551,1269.020,1.904,40000
552,219.125,0.219,60000
553,76.128,0.114,40000
554,83.762,0.126,40000
555,100.324,0.150,40000
556,288.849,0.289,60000
557,174.533,0.262,40000
558,56.941,0.085,40000
559,5.708,0.009,40000
560,327.080,0.491,40000
561,94.890,0.142,40000
562,80.113,0.120,40000
563,163.511,0.245,40000
564,252.929,0.379,40000
565,1070.710,1.071,60000
566,522.166,0.522,60000
567,54.452,0.082,40000
568,78.161,0.117,40000
569,45.808,0.069,40000
570,72.669,0.109,40000
571,158.909,0.238,40000
572,254.906,0.382,40000
573,37.433,0.056,40000
574,2761.120,2.761,60000
575,186.577,0.187,60000
576,41.753,0.063,40000
577,69.177,0.104,40000
578,263.647,0.395,40000
579,155.707,0.234,40000
580,79.545,0.119,40000
581,60.751,0.091,40000
582,89.823,0.135,40000
583,51.858,0.078,40000
584,158.425,0.238,40000
585,82.642,0.124,40000
586,26.784,0.040,40000
587,71.281,0.107,40000
588,87.251,0.131,40000
589,226.639,0.340,40000
590,157.629,0.236,40000
591,62.727,0.094,40000
592,888.634,1.333,40000
593,1344.930,2.017,40000
594,72.691,0.109,40000
595,63.843,0.096,40000
596,84.791,0.127,40000
597,182.033,0.182,60000
598,81.663,0.122,40000
599,130.265,0.195,40000
600,0.146,0.000,40000
601,544.207,0.544,60000
602,1442.400,2.164,40000
603,635.328,0.635,60000
604,998.304,0.998,60000
605,1182.960,1.183,60000
606,3435.160,3.435,60000
607,1268.830,1.269,60000
608,323.569,0.485,40000
609,184.475,0.277,40000
610,85.326,0.128,40000
611,160.105,0.240,40000
612,316.417,0.475,40000
613,83.115,0.125,40000
614,304.328,0.456,40000
615,72.410,0.109,40000
616,106.784,0.160,40000
617,3336.270,3.336,60000
618,342.102,0.342,60000
619,1502.220,1.502,60000
620,3029.540,4.544,40000
621,1311.740,1.968,40000
622,500.055,0.500,60000
