Field ID,Object,Idling Location,Idling Date,Idling_End,Idle Duration (in minutes),Idle Duration (in hours),Driving Shift,X,Y,,,,
559,1691,"6.81 km from Sufayyah, Sudan (NE)",13/04/2022,13/04/2022 09:03,00:22:00,0.36666666700,Morning Shift,32.954243,13.107720,,,,
560,1691,"6.3 km from Sufayyah, Sudan (NE)",13/04/2022,13/04/2022 09:25,00:16:00,0.26666666700,Morning Shift,32.962378,13.098982,,,,
561,1691,"2.33 km from Sufayyah, Sudan (NW)",13/04/2022,13/04/2022 13:36,01:51:00,1.85000000000,Morning Shift,32.929350,13.070602,,,,
562,1691,"2.4 km from Sufayyah, Sudan (NW)",13/04/2022,13/04/2022 15:22,01:31:00,1.51666666700,Morning Shift,32.928325,13.071052,,,,
563,1691,"2.47 km from Sufayyah, Sudan (NW)",13/04/2022,13/04/2022 22:11,00:18:00,0.30000000000,Afternoon Shift,32.928782,13.071773,,,,
564,1691,"2.43 km from Sufayyah, Sudan (NW)",13/04/2022,13/04/2022 22:44,00:28:00,0.46666666700,Night Shift,32.929727,13.071523,,,,
565,1683,"6.39 km from Sufayyah, Sudan (NE)",13/04/2022,13/04/2022 01:19,00:39:00,0.65000000000,Night Shift,32.963140,13.099545,,,,
566,1683,"2.36 km from Sufayyah, Sudan (NW)",13/04/2022,13/04/2022 06:00,00:24:00,0.40000000000,Night Shift,32.929328,13.070855,,,,
567,1683,"8.27 km from Jabal Umm Jidyan, Sudan (SW)",13/04/2022,13/04/2022 06:53,00:16:00,0.26666666700,Morning Shift,33.065760,13.183647,,,,
568,1683,"8.24 km from Jabal Umm Jidyan, Sudan (SW)",13/04/2022,13/04/2022 07:21,00:26:00,0.43333333300,Morning Shift,33.065968,13.183788,,,,
569,1683,"8.21 km from Jabal Umm Jidyan, Sudan (SW)",13/04/2022,13/04/2022 07:46,00:24:00,0.40000000000,Morning Shift,33.066208,13.183962,,,,
570,1683,--,13/04/2022,13/04/2022 11:38,00:16:00,0.26666666700,Morning Shift,32.978055,13.166997,,,,
571,1696,--,13/04/2022,13/04/2022 01:15,00:24:00,0.40000000000,Night Shift,33.049962,13.141953,,,,
572,1696,"6.77 km from Sufayyah, Sudan (NE)",13/04/2022,13/04/2022 04:00,00:23:00,0.38333333300,Night Shift,32.954078,13.107338,,,,
573,1696,"6.79 km from Sufayyah, Sudan (NE)",13/04/2022,13/04/2022 04:19,00:16:00,0.26666666700,Night Shift,32.954255,13.107517,,,,
574,1696,"6.79 km from Sufayyah, Sudan (NE)",13/04/2022,13/04/2022 05:42,01:04:00,1.06666666700,Night Shift,32.954253,13.107452,,,,
575,1696,"6.79 km from Sufayyah, Sudan (NE)",13/04/2022,13/04/2022 06:19,00:34:00,0.56666666700,Night Shift,32.954262,13.107502,,,,
576,1696,"6.8 km from Sufayyah, Sudan (NE)",13/04/2022,13/04/2022 07:08,00:22:00,0.36666666700,Morning Shift,32.954178,13.107597,,,,
577,1696,"2.35 km from Sufayyah, Sudan (NW)",13/04/2022,13/04/2022 13:16,00:43:00,0.71666666700,Morning Shift,32.929540,13.070763,,,,
578,1696,"2.4 km from Sufayyah, Sudan (NW)",13/04/2022,13/04/2022 15:31,01:44:00,1.73333333300,Morning Shift,32.928297,13.071023,,,,
579,1696,"2.37 km from Sufayyah, Sudan (NW)",13/04/2022,13/04/2022 16:12,00:39:00,0.65000000000,Afternoon Shift,32.929195,13.070895,,,,
580,1696,--,13/04/2022,13/04/2022 18:35,00:47:00,0.78333333300,Afternoon Shift,32.964627,13.180313,,,,
581,1694,"6.84 km from Sufayyah, Sudan (NE)",13/04/2022,13/04/2022 01:12,00:23:00,0.38333333300,Night Shift,32.954453,13.107932,,,,
582,1694,"6.85 km from Sufayyah, Sudan (NE)",13/04/2022,13/04/2022 02:25,01:11:00,1.18333333300,Night Shift,32.954803,13.107885,,,,
583,1694,"6.71 km from Sufayyah, Sudan (NE)",13/04/2022,13/04/2022 04:17,00:30:00,0.50000000000,Night Shift,32.953862,13.106865,,,,
584,1694,"6.8 km from Sufayyah, Sudan (NE)",13/04/2022,13/04/2022 06:44,02:26:00,2.43333333300,Night Shift,32.954288,13.107532,,,,
585,1694,"6.89 km from Sufayyah, Sudan (NE)",13/04/2022,13/04/2022 07:29,00:25:00,0.41666666700,Morning Shift,32.954817,13.108255,,,,
586,1694,"8.26 km from Jabal Umm Jidyan, Sudan (SW)",13/04/2022,13/04/2022 12:07,00:27:00,0.45000000000,Morning Shift,33.066545,13.183303,,,,
587,1694,"2.39 km from Sufayyah, Sudan (NW)",13/04/2022,13/04/2022 15:17,01:42:00,1.70000000000,Morning Shift,32.928312,13.070900,,,,
588,1694,"2.42 km from Sufayyah, Sudan (NW)",13/04/2022,13/04/2022 16:53,00:22:00,0.36666666700,Afternoon Shift,32.928780,13.071250,,,,
589,1694,"2.36 km from Sufayyah, Sudan (NW)",13/04/2022,13/04/2022 17:43,00:42:00,0.70000000000,Afternoon Shift,32.929290,13.070857,,,,
590,1694,"2.37 km from Sufayyah, Sudan (NW)",13/04/2022,13/04/2022 22:49,00:54:00,0.90000000000,Afternoon Shift,32.928290,13.070735,,,,
591,1694,"2.36 km from Sufayyah, Sudan (NW)",13/04/2022,13/04/2022 23:23,00:33:00,0.55000000000,Night Shift,32.929267,13.070848,,,,
592,1690,"6.96 km from Jabal Buyut, Sudan (SE)",13/04/2022,13/04/2022 04:29,00:30:00,0.50000000000,Night Shift,32.972810,13.217387,,,,
593,1690,"2.78 km from Sufayyah, Sudan (NW)",13/04/2022,13/04/2022 06:27,00:18:00,0.30000000000,Morning Shift,32.929718,13.074693,,,,
594,1690,"2.36 km from Sufayyah, Sudan (NW)",13/04/2022,13/04/2022 07:17,00:35:00,0.58333333300,Morning Shift,32.929238,13.070857,,,,
595,1690,"6.6 km from Al Wilayah al Wusta, Sudan (NE)",13/04/2022,13/04/2022 09:26,01:20:00,1.33333333300,Morning Shift,33.056152,13.022807,,,,
