FID,Start Time,End Time,Object,MAX_Speed,AVG_Speed,Distance,Shift,X,Y
231,13/04/2022,13/04/2022,1694,72,40,1.870,Night,32.946810,13.101060
232,13/04/2022,13/04/2022,1694,72,31,1.020,Night,32.958907,13.116002
233,15/04/2022,15/04/2022,1694,73,34,1.010,Night,32.967342,13.131615
234,17/04/2022,17/04/2022,1694,72,35,1.010,Night,33.027623,13.132062
235,17/04/2022,17/04/2022,1694,75,36,1.020,Night,33.047525,13.140122
236,17/04/2022,17/04/2022,1694,76,52,3.060,Night,33.012625,13.116220
237,17/04/2022,17/04/2022,1694,77,48,2.030,Night,32.977828,13.114852
238,17/04/2022,17/04/2022,1694,74,41,1.940,Night,32.947400,13.101518
239,19/04/2022,19/04/2022,1694,77,36,1.010,Night,32.928750,13.093285
240,19/04/2022,19/04/2022,1694,72,33,1.010,Night,32.929988,13.092597
241,20/04/2022,20/04/2022,1694,75,29,0.960,Night,32.968782,13.135572
242,20/04/2022,20/04/2022,1694,73,47,2.040,Night,32.957098,13.110805
243,20/04/2022,20/04/2022,1694,72,31,1.000,Night,32.968763,13.135253
244,21/04/2022,21/04/2022,1694,71,33,1.020,Night,32.960465,13.122647
245,21/04/2022,21/04/2022,1694,71,31,1.010,Night,32.969737,13.138097
246,05/04/2022,05/04/2022,1696,74,33,1.000,Night,32.989820,13.143923
247,05/04/2022,05/04/2022,1696,74,35,1.020,Night,32.959443,13.120750
248,05/04/2022,05/04/2022,1696,76,35,1.010,Night,32.953810,13.107527
249,05/04/2022,05/04/2022,1696,77,32,1.540,Night,32.967980,13.133182
250,06/04/2022,06/04/2022,1696,74,32,1.010,Night,32.968478,13.135682
251,07/04/2022,07/04/2022,1696,71,33,1.010,Night,32.955143,13.108907
252,08/04/2022,08/04/2022,1696,72,33,1.010,Night,32.955060,13.108810
253,09/04/2022,09/04/2022,1696,72,29,0.990,Night,32.939565,13.085595
254,09/04/2022,09/04/2022,1696,73,32,1.020,Night,33.027005,13.132055
255,10/04/2022,10/04/2022,1696,76,62,3.050,Night,32.949952,13.103817
256,10/04/2022,10/04/2022,1696,85,48,3.050,Night,33.007850,13.125978
257,10/04/2022,10/04/2022,1696,71,34,1.020,Night,33.042058,13.136173
258,10/04/2022,10/04/2022,1696,76,33,1.010,Night,33.043988,13.152368
259,10/04/2022,10/04/2022,1696,72,35,1.010,Night,32.989258,13.143720
260,10/04/2022,10/04/2022,1696,75,32,1.010,Night,32.968478,13.134843
261,11/04/2022,11/04/2022,1696,71,25,0.680,Night,32.939287,13.084620
262,11/04/2022,11/04/2022,1696,74,45,2.010,Night,32.949445,13.103368
263,12/04/2022,12/04/2022,1696,73,32,1.020,Night,32.971508,13.140925
264,12/04/2022,12/04/2022,1696,74,29,0.980,Night,33.024008,13.166865
265,12/04/2022,12/04/2022,1696,76,31,1.020,Night,33.044975,13.138002
266,15/04/2022,15/04/2022,1696,76,57,5.000,Night,32.950418,13.104332
267,15/04/2022,15/04/2022,1696,71,27,0.900,Night,32.941278,13.095730
268,16/04/2022,16/04/2022,1696,75,27,0.910,Night,32.939217,13.084418
269,16/04/2022,16/04/2022,1696,74,72,1.120,Night,32.931038,13.081308
270,17/04/2022,17/04/2022,1696,73,20,0.670,Night,32.940818,13.096480
271,18/04/2022,18/04/2022,1696,73,25,0.840,Night,32.935310,13.082620
272,19/04/2022,19/04/2022,1696,77,34,1.020,Night,32.951793,13.105633
273,20/04/2022,20/04/2022,1696,72,32,1.010,Night,32.960443,13.122568
274,20/04/2022,20/04/2022,1696,76,45,2.030,Night,33.038582,13.181560
275,20/04/2022,20/04/2022,1696,73,32,1.010,Night,33.008590,13.153908
