FID,FIELDNO,AREA_FED,Area_Sq_m,PERIMETER 
561,52304,205.921,864868.667,5351.352
562,52305,208.021,873687.904,5422.160
563,52306,227.450,955291.595,4984.081
564,52307,97.064,407670.808,3179.869
565,52308,179.868,755444.368,5825.779
566,52309,197.168,828107.683,4045.845
567,52310,190.678,800845.965,4012.067
568,52311,135.611,569567.063,6162.429
569,52312,219.219,920718.467,4228.330
570,52314,212.883,894106.685,3916.714
571,52313,197.107,827851.158,4127.218
572,52315,210.001,882002.352,5321.141
573,52316,201.324,845562.659,5631.803
574,61101,218.800,918971.046,4190.907
575,61117,266.960,1121243.558,4417.393
576,61116,173.400,728275.476,3478.409
577,61115,171.510,720322.109,3443.239
578,61114,171.470,720188.672,3454.896
579,61113,137.580,577849.865,3383.332
580,61112,148.320,622963.421,3397.299
581,61111,158.960,667620.688,3274.473
582,61110,135.740,570120.724,3047.894
583,61109,99.010,415825.760,2630.440
584,61108,31.260,131287.386,1541.916
585,61107,98.500,413718.054,2802.256
586,61106,180.090,756397.242,3595.405
587,61105,184.470,774793.958,3620.994
588,61104,194.390,816427.808,3732.194
589,61103,277.110,1163858.349,5049.040
590,61102,255.320,1072338.064,4647.456
591,61201,170.110,714456.221,3696.137
592,61202,220.650,926738.019,4059.261
593,61205,321.780,1351466.883,5285.879
594,61204,260.020,1092089.107,4669.476
595,61206,379.600,1594335.971,5677.627
596,61207,310.510,1304158.128,5344.860
597,61208,336.870,1414870.845,5570.438
598,61209,301.360,1265725.194,5229.667
599,61212,51.700,217139.141,2281.523
600,61211,174.920,734676.325,3699.712
601,61210,244.890,1028555.315,4460.598
602,61203,239.750,1006938.397,4277.012
603,61302,172.260,723495.587,4218.411
604,61304,208.300,874842.394,4183.285
605,61305,268.800,1128947.456,4564.886
606,61306,185.820,780463.846,4401.854
607,61307,313.730,1317678.208,5450.617
608,61308,276.400,1160865.037,5438.081
609,61309,292.520,1228596.051,5331.301
610,61310,212.670,893212.802,4398.422
611,61303,198.910,835431.579,4115.158
612,61301,293.210,1231483.557,0.000
613,61409,110.380,463605.229,3250.059
614,61410,235.620,989592.240,4229.954
615,61411,116.260,488287.274,3095.263
616,61412,170.620,716597.482,3423.874
617,61413,135.950,570989.239,3085.579
618,61414,144.020,604899.434,3176.094
619,61415,112.990,474566.646,2934.673
620,61402,156.690,658088.973,3542.420
621,61401,155.950,654981.040,3477.755
622,61403,97.110,407881.488,3022.133
623,61404,81.210,341088.765,2685.113
624,61405,131.610,552780.838,3069.001
625,61406,139.950,587801.491,3076.645
626,61407,142.500,598515.165,3205.502
627,61408,152.000,638392.384,3126.405
628,71101,113.382,476203.002,2820.388
629,71102,89.077,374123.823,3641.781
630,71103,123.177,517343.454,3137.277
631,71104,73.270,307736.030,2717.728
